iter	Passed	Remaining
0	0	60
1	1	56
2	1	55
3	2	51
4	2	50
5	3	50
6	3	50
7	4	49
8	4	49
9	5	48
10	5	48
11	6	47
12	6	46
13	7	45
14	7	44
15	8	44
16	8	43
17	9	43
18	10	42
19	10	42
20	11	41
21	11	40
22	12	40
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	34
34	18	34
35	18	33
36	19	33
37	20	33
38	21	32
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	25
54	29	24
55	30	23
56	30	23
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	34	18
66	35	17
67	35	16
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
